split_type,count,mean,std,min,q25,median,q75,max
counterfactual,12000,0.218717,0.037858,0.070579,0.192538,0.215885,0.243563,0.389545
original,6000,0.238306,0.040457,0.090359,0.209181,0.236112,0.265409,0.387641
